family_size,residential_area,person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length,cb_person_cred_hist_average_value
3,5,22,12600,MORTGAGE,,PERSONAL,A,2000,18,1,0.16,N,4,11271.054
7,5,22,21600,MORTGAGE,,ELECTRONICS,A,4025,18,0,0.19,N,4,139176.91
1,4,24,21600,MORTGAGE,8,MEDICAL,A,8000,18,0,0.37,N,2,74640.641
4,4,24,22000,MORTGAGE,8,PERSONAL,A,8000,18,0,0.36,N,4,135103.895
4,4,26,22296,OWN,,PERSONAL,A,5400,18,0,0.24,N,3,145926.161
4,2,22,24000,MORTGAGE,4,HEALTHANDBEAUTY,A,1300,18,0,0.05,N,3,42847.364
7,1,22,26004,MORTGAGE,1,ELECTRONICS,A,5000,18,0,0.19,N,4,142540.578
9,4,26,50400,RENT,1,PERSONAL,A,1000,18,0,0.02,N,3,50379.306
1,3,25,42000,RENT,0,FURNITURE,A,1350,18,0,0.03,N,2,112622.429
5,2,22,58000,RENT,6,ELECTRONICS,A,1500,18,0,0.03,N,2,39040.141
3,5,25,28800,MORTGAGE,,ELECTRONICS,A,1000,18,0,0.03,N,3,137453.484
4,1,21,18000,RENT,1,ELECTRONICS,A,2000,18,0,0.11,N,3,9067.247
6,3,22,29184,OWN,,MEDICAL,A,1800,18,0,0.06,N,4,153466.365
8,5,22,30000,MORTGAGE,6,HEALTHANDBEAUTY,A,2000,18,0,0.07,N,2,78025.069
8,1,25,40000,RENT,9,ELECTRONICS,A,2400,18,0,0.06,N,3,163556.922
5,1,21,31000,MORTGAGE,5,ELECTRONICS,A,7500,18,0,0.24,N,4,75018.939
5,3,24,31000,MORTGAGE,8,ELECTRONICS,A,5000,18,0,0.16,N,2,178214.751
1,3,25,31000,MORTGAGE,,HOMEIMPROVEMENT,A,5200,18,0,0.17,N,4,151999.385
1,5,24,31000,MORTGAGE,8,HOMEIMPROVEMENT,A,8000,18,0,0.26,N,4,104047.819
4,1,25,31200,MORTGAGE,3,MEDICAL,A,11200,18,0,0.36,N,2,101919.127
7,5,21,26940,RENT,1,ELECTRONICS,A,2500,18,0,0.09,N,4,38666.342
9,3,24,32000,MORTGAGE,5,HOMEIMPROVEMENT,A,6000,18,0,0.19,N,4,62493.178
5,2,25,32004,MORTGAGE,,MEDICAL,A,7200,18,0,0.22,N,4,47435.054
5,3,21,32400,MORTGAGE,2,ELECTRONICS,A,10000,18,0,0.31,N,2,38975.808
8,2,22,43500,RENT,0,ELECTRONICS,A,3000,18,0,0.07,N,3,8645.255
4,1,24,33600,MORTGAGE,,HEALTHANDBEAUTY,A,12000,18,0,0.36,N,2,159800.412
5,3,24,34600,MORTGAGE,2,FURNITURE,A,4000,18,0,0.12,N,2,156300.513
9,2,21,57000,RENT,3,PERSONAL,A,3000,18,0,0.05,N,3,155668.473
5,3,23,35000,MORTGAGE,7,ELECTRONICS,A,2100,18,0,0.06,N,3,80266.298
2,5,24,35000,MORTGAGE,5,FURNITURE,A,4800,18,0,0.14,N,3,179904.347
4,3,23,35000,OWN,2,HEALTHANDBEAUTY,A,5500,18,0,0.16,N,2,170776.667
1,2,26,35000,MORTGAGE,0,MEDICAL,A,8000,18,0,0.23,N,2,12221.512
1,1,22,29000,MORTGAGE,6,PERSONAL,A,12000,18,1,0.41,N,4,7488.694
1,2,25,33000,RENT,9,MEDICAL,A,3200,18,0,0.1,N,4,29908.488
7,3,24,35004,MORTGAGE,5,ELECTRONICS,A,7000,18,0,0.2,N,3,59621.69
3,2,25,30000,RENT,0,FURNITURE,A,3250,18,0,0.11,N,3,189613.826
1,4,23,35352,MORTGAGE,,ELECTRONICS,A,6500,18,0,0.18,N,2,83555.971
9,2,22,29554,MORTGAGE,,FURNITURE,A,5775,18,1,0.2,N,3,165490.935
5,3,22,39336,RENT,6,HEALTHANDBEAUTY,A,3500,18,0,0.09,N,2,185417.034
2,5,25,42000,RENT,0,HEALTHANDBEAUTY,A,3500,18,0,0.08,N,4,110966.579
3,4,22,60000,RENT,5,HEALTHANDBEAUTY,A,3500,18,0,0.06,N,2,44281.983
8,4,24,36000,OWN,,ELECTRONICS,A,6500,18,0,0.18,N,2,149476.076
9,2,23,36000,MORTGAGE,7,PERSONAL,A,7200,18,0,0.2,N,2,179328.701
4,5,23,70000,RENT,1,ELECTRONICS,A,3500,18,0,0.05,N,3,151859.745
2,2,21,36000,MORTGAGE,1,MEDICAL,A,4000,18,0,0.11,N,3,99172.058
1,1,21,36000,OWN,,ELECTRONICS,A,11000,18,0,0.31,N,3,181097.02
4,2,26,36000,MORTGAGE,10,HEALTHANDBEAUTY,A,9000,18,0,0.25,N,4,43982.042
2,5,22,36000,MORTGAGE,6,FURNITURE,A,10000,18,0,0.28,N,3,164995.356
9,2,21,40000,RENT,5,MEDICAL,A,3600,18,0,0.09,N,4,151627.002
8,4,23,39520,RENT,8,PERSONAL,A,11000,18,0,0.28,N,2,173914.96
1,2,24,100000,RENT,6,FURNITURE,A,11000,18,0,0.11,N,4,111533.458
4,2,24,43680,RENT,1,HEALTHANDBEAUTY,A,10800,18,0,0.25,N,2,82695.541
8,3,22,38000,MORTGAGE,6,FURNITURE,A,8500,18,0,0.22,N,2,117425.995
9,5,25,38000,MORTGAGE,4,PERSONAL,A,6000,18,0,0.16,N,2,7855.251
4,4,22,25440,RENT,6,ELECTRONICS,A,4000,18,0,0.16,N,4,173051.77
2,4,22,27600,RENT,3,MEDICAL,A,4000,18,0,0.14,N,4,72358.416
9,1,23,28800,RENT,0,ELECTRONICS,A,4000,18,0,0.14,N,2,197692.777
5,4,22,38400,MORTGAGE,4,FURNITURE,A,10000,18,0,0.26,N,2,54974.195
1,3,22,32000,RENT,0,HEALTHANDBEAUTY,A,4000,18,0,0.13,N,4,167341.433
4,5,22,36000,RENT,0,MEDICAL,A,4000,18,0,0.11,N,3,186153.212
1,3,22,36000,RENT,3,ELECTRONICS,A,4000,18,0,0.11,N,2,29744.72
8,5,24,39000,MORTGAGE,3,HOMEIMPROVEMENT,A,5600,18,0,0.14,N,4,156838.293
2,1,24,40000,RENT,3,FURNITURE,A,4000,18,0,0.1,N,2,179923.251
1,3,24,50000,RENT,1,HOMEIMPROVEMENT,A,4000,18,0,0.08,N,2,132621.635
9,2,23,50000,RENT,1,MEDICAL,A,4000,18,0,0.08,N,2,36249.547
8,1,24,65000,RENT,1,MEDICAL,A,4000,18,0,0.06,N,2,117828.364
7,2,23,92000,RENT,2,ELECTRONICS,A,4000,18,0,0.04,N,2,165089.375
9,5,24,93000,RENT,8,MEDICAL,A,4000,18,0,0.04,N,2,7235.031
9,3,23,40000,OWN,,HEALTHANDBEAUTY,A,7500,18,0,0.19,N,2,61228.569
3,1,23,40000,MORTGAGE,3,MEDICAL,A,5000,18,0,0.13,N,3,80944.402
5,5,22,40000,MORTGAGE,1,ELECTRONICS,A,4800,18,0,0.12,N,2,39918.849
3,4,24,37500,RENT,0,PERSONAL,A,4500,18,0,0.12,N,4,128393.752
3,1,26,40000,MORTGAGE,10,HOMEIMPROVEMENT,A,5300,18,0,0.13,N,2,95822.276
9,4,22,35000,RENT,3,ELECTRONICS,A,4800,18,0,0.14,N,3,156740.817
7,1,26,45000,RENT,1,MEDICAL,A,4800,18,0,0.11,N,2,117961.115
5,2,23,48000,RENT,3,MEDICAL,A,4800,18,0,0.1,N,3,193547.89
2,5,23,42000,MORTGAGE,7,HEALTHANDBEAUTY,A,8000,18,0,0.19,N,3,30339.648
6,1,24,42000,MORTGAGE,9,PERSONAL,A,11000,18,0,0.26,N,4,94940.673
6,3,23,42000,OWN,0,PERSONAL,A,6000,18,0,0.14,N,2,97144.679
9,5,25,42000,MORTGAGE,3,HOMEIMPROVEMENT,A,10000,18,0,0.24,N,2,97055.606
2,4,22,36996,RENT,0,MEDICAL,A,5000,18,0,0.14,N,2,194108.886
2,1,23,42179,MORTGAGE,1,ELECTRONICS,A,10000,18,0,0.24,N,4,43000.048
2,2,25,42500,MORTGAGE,9,ELECTRONICS,A,2000,18,0,0.05,N,3,54535.931
7,2,24,42000,RENT,8,MEDICAL,A,5000,18,0,0.12,N,2,191118.855
1,1,26,43000,MORTGAGE,9,PERSONAL,A,8800,18,0,0.2,N,3,176128.399
7,4,22,43200,MORTGAGE,7,PERSONAL,A,11000,18,0,0.25,N,2,85106.669
2,4,22,50000,RENT,6,FURNITURE,A,5000,18,0,0.1,N,3,103280.781
7,3,21,43971,MORTGAGE,5,PERSONAL,A,4600,18,0,0.1,N,4,34128.941
2,4,23,44000,MORTGAGE,,MEDICAL,A,6000,18,0,0.14,N,4,89504.653
8,5,24,45000,MORTGAGE,6,HOMEIMPROVEMENT,A,4075,18,0,0.09,N,3,64901.581
2,1,22,44000,RENT,4,HEALTHANDBEAUTY,A,8500,18,0,0.19,N,4,92382.135
1,1,23,45000,MORTGAGE,7,FURNITURE,A,7000,18,0,0.16,N,3,126929.026
8,1,21,45000,MORTGAGE,0,FURNITURE,A,6250,18,0,0.14,N,3,54039.295
6,5,21,55272,RENT,5,HEALTHANDBEAUTY,A,5000,18,0,0.09,N,3,107439.981
2,1,23,65000,RENT,2,HEALTHANDBEAUTY,A,5000,18,0,0.08,N,2,75083.655
4,4,23,80000,RENT,6,PERSONAL,A,5000,18,0,0.06,N,2,178338.231
1,4,24,81000,RENT,6,MEDICAL,A,5000,18,0,0.06,N,3,1380.485
6,3,23,45992,MORTGAGE,7,HEALTHANDBEAUTY,A,10000,18,0,0.22,N,3,112624.019
9,2,23,46000,MORTGAGE,1,HEALTHANDBEAUTY,A,3000,18,0,0.07,N,3,181453.66
8,4,22,57500,RENT,4,MEDICAL,A,5400,18,0,0.09,N,4,163248.817
3,1,23,46450,MORTGAGE,6,ELECTRONICS,A,10000,18,0,0.22,N,2,4879.375
