family_size,residential_area,person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length,cb_person_cred_hist_average_value
6-Apr,urban,22,12600,MORTGAGE,,PERSONAL,A,2000,18,1,0.16,N,4,11271.054
6-Apr,urban,22,21600,MORTGAGE,,ELECTRONICS,A,4025,18,0,0.19,N,4,139176.91
6-Apr,urban,24,21600,MORTGAGE,8,MEDICAL,A,8000,18,0,0.37,N,2,74640.641
6-Apr,urban,24,22000,MORTGAGE,8,PERSONAL,A,8000,18,0,0.36,N,4,135103.895
2-Jan,urban,26,22296,OWN,,PERSONAL,A,5400,18,0,0.24,N,3,145926.161
6-Apr,urban,22,24000,MORTGAGE,4,HEALTHANDBEAUTY,A,1300,18,0,0.05,N,3,42847.364
6-Apr,urban,22,26004,MORTGAGE,1,ELECTRONICS,A,5000,18,0,0.19,N,4,142540.578
2-Jan,rural,26,50400,RENT,1,PERSONAL,A,1000,18,0,0.02,N,3,50379.306
2-Jan,rural,25,42000,RENT,0,FURNITURE,A,1350,18,0,0.03,N,2,112622.429
2-Jan,rural,22,58000,RENT,6,ELECTRONICS,A,1500,18,0,0.03,N,2,39040.141
3-Jan,urban,25,28800,MORTGAGE,,ELECTRONICS,A,1000,18,0,0.03,N,3,137453.484
6-Apr,urban,21,18000,RENT,1,ELECTRONICS,A,2000,18,0,0.11,N,3,9067.247
6-Apr,urban,22,29184,OWN,,MEDICAL,A,1800,18,0,0.06,N,4,153466.365
3-Jan,rural,22,30000,MORTGAGE,6,HEALTHANDBEAUTY,A,2000,18,0,0.07,N,2,78025.069
2-Jan,rural,25,40000,RENT,9,ELECTRONICS,A,2400,18,0,0.06,N,3,163556.922
3-Jan,rural,21,31000,MORTGAGE,5,ELECTRONICS,A,7500,18,0,0.24,N,4,75018.939
3-Jan,rural,24,31000,MORTGAGE,8,ELECTRONICS,A,5000,18,0,0.16,N,2,178214.751
3-Jan,rural,25,31000,MORTGAGE,,HOMEIMPROVEMENT,A,5200,18,0,0.17,N,4,151999.385
3-Jan,rural,24,31000,MORTGAGE,8,HOMEIMPROVEMENT,A,8000,18,0,0.26,N,4,104047.819
3-Jan,rural,25,31200,MORTGAGE,3,MEDICAL,A,11200,18,0,0.36,N,2,101919.127
6-Apr,urban,21,26940,RENT,1,ELECTRONICS,A,2500,18,0,0.09,N,4,38666.342
3-Jan,rural,24,32000,MORTGAGE,5,HOMEIMPROVEMENT,A,6000,18,0,0.19,N,4,62493.178
3-Jan,rural,25,32004,MORTGAGE,,MEDICAL,A,7200,18,0,0.22,N,4,47435.054
3-Jan,rural,21,32400,MORTGAGE,2,ELECTRONICS,A,10000,18,0,0.31,N,2,38975.808
2-Jan,rural,22,43500,RENT,0,ELECTRONICS,A,3000,18,0,0.07,N,3,8645.255
3-Jan,rural,24,33600,MORTGAGE,,HEALTHANDBEAUTY,A,12000,18,0,0.36,N,2,159800.412
3-Jan,rural,24,34600,MORTGAGE,2,FURNITURE,A,4000,18,0,0.12,N,2,156300.513
2-Jan,rural,21,57000,RENT,3,PERSONAL,A,3000,18,0,0.05,N,3,155668.473
3-Jan,rural,23,35000,MORTGAGE,7,ELECTRONICS,A,2100,18,0,0.06,N,3,80266.298
3-Jan,rural,24,35000,MORTGAGE,5,FURNITURE,A,4800,18,0,0.14,N,3,179904.347
3-Jan,rural,23,35000,OWN,2,HEALTHANDBEAUTY,A,5500,18,0,0.16,N,2,170776.667
2-Jan,rural,26,35000,MORTGAGE,0,MEDICAL,A,8000,18,0,0.23,N,2,12221.512
6-Apr,urban,22,29000,MORTGAGE,6,PERSONAL,A,12000,18,1,0.41,N,4,7488.694
2-Jan,rural,25,33000,RENT,9,MEDICAL,A,3200,18,0,0.1,N,4,29908.488
3-Jan,rural,24,35004,MORTGAGE,5,ELECTRONICS,A,7000,18,0,0.2,N,3,59621.69
2-Jan,rural,25,30000,RENT,0,FURNITURE,A,3250,18,0,0.11,N,3,189613.826
3-Jan,rural,23,35352,MORTGAGE,,ELECTRONICS,A,6500,18,0,0.18,N,2,83555.971
6-Apr,urban,22,29554,MORTGAGE,,FURNITURE,A,5775,18,1,0.2,N,3,165490.935
2-Jan,rural,22,39336,RENT,6,HEALTHANDBEAUTY,A,3500,18,0,0.09,N,2,185417.034
2-Jan,rural,25,42000,RENT,0,HEALTHANDBEAUTY,A,3500,18,0,0.08,N,4,110966.579
2-Jan,rural,22,60000,RENT,5,HEALTHANDBEAUTY,A,3500,18,0,0.06,N,2,44281.983
3-Jan,rural,24,36000,OWN,,ELECTRONICS,A,6500,18,0,0.18,N,2,149476.076
3-Jan,rural,23,36000,MORTGAGE,7,PERSONAL,A,7200,18,0,0.2,N,2,179328.701
2-Jan,rural,23,70000,RENT,1,ELECTRONICS,A,3500,18,0,0.05,N,3,151859.745
3-Jan,rural,21,36000,MORTGAGE,1,MEDICAL,A,4000,18,0,0.11,N,3,99172.058
3-Jan,rural,21,36000,OWN,,ELECTRONICS,A,11000,18,0,0.31,N,3,181097.02
2-Jan,rural,26,36000,MORTGAGE,10,HEALTHANDBEAUTY,A,9000,18,0,0.25,N,4,43982.042
3-Jan,rural,22,36000,MORTGAGE,6,FURNITURE,A,10000,18,0,0.28,N,3,164995.356
2-Jan,rural,21,40000,RENT,5,MEDICAL,A,3600,18,0,0.09,N,4,151627.002
2-Jan,rural,23,39520,RENT,8,PERSONAL,A,11000,18,0,0.28,N,2,173914.96
2-Jan,rural,24,100000,RENT,6,FURNITURE,A,11000,18,0,0.11,N,4,111533.458
2-Jan,rural,24,43680,RENT,1,HEALTHANDBEAUTY,A,10800,18,0,0.25,N,2,82695.541
3-Jan,rural,22,38000,MORTGAGE,6,FURNITURE,A,8500,18,0,0.22,N,2,117425.995
3-Jan,rural,25,38000,MORTGAGE,4,PERSONAL,A,6000,18,0,0.16,N,2,7855.251
6-Apr,urban,22,25440,RENT,6,ELECTRONICS,A,4000,18,0,0.16,N,4,173051.77
6-Apr,urban,22,27600,RENT,3,MEDICAL,A,4000,18,0,0.14,N,4,72358.416
